Package,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,DMS,I
club.newtech.qbick.gateway,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
club.newtech.qbike,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.github.joffryferrater.priceservice,0.0,100.0,0.0,1.0,2.0,0.0,0.333333333,1.0,14.0,0.0,1.0
com.github.joffryferrater.priceservice.models,0.5,0.0,1.0,0.0,2.0,1.0,2.0,6.0,16.0,0.5,0.0
com.github.joffryferrater.itemservice,0.0,100.0,0.0,1.0,2.0,0.0,0.333333333,1.0,32.0,0.0,1.0
com.github.joffryferrater.itemservice.models,0.5,0.0,1.0,0.0,2.0,1.0,2.0,8.0,17.0,0.5,0.0
com.github.joffryferrater.accountservice,0.0,100.0,0.0,1.0,2.0,0.0,0.333333333,1.0,14.0,0.0,1.0
com.github.joffryferrater.accountservice.models,0.5,0.0,1.0,0.0,2.0,1.0,2.0,6.0,14.0,0.5,0.0
com.github.joffryferrater.storeservice,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.github.joffryferrater.storeservice.models,0.5,0.0,0.0,0.0,2.0,1.0,1.363636364,15.0,42.0,,
com.github.joffry.ferrater.configservice,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.github.joffryferrater.configservice,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,,
com.github.joffry.ferrater.discoveryservice,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.github.joffryferrater.customerservice,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.github.joffryferrater.customerservice.models,0.5,0.0,0.0,0.0,2.0,1.0,1.5,3.0,19.0,,
com.apssouza,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.apssouza.bootstrap,0.0,0.0,0.0,1.0,1.0,0.0,1.5,3.0,16.0,0.0,1.0
com.apssouza.configuration,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,9.0,,
com.apssouza.controllers,0.0,300.0,0.0,1.0,1.0,0.0,2.083333333,12.5,29.0,0.0,1.0
com.apssouza.entities,0.0,0.0,5.0,0.0,1.0,0.0,1.25,15.0,44.0,1.0,0.0
com.apssouza.exceptions,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0
com.apssouza.repositories,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.333333333,0.333333333
com.apssouza.services,0.5,300.0,1.0,2.0,2.0,1.0,2.966666667,35.6,29.0,0.166666667,0.666666667
com.apssouza.monitoring,0.0,33.333333333,0.0,0.0,3.0,0.0,1.3,13.0,65.0,,
com.apssouza,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.apssouza.auth,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,8.0,,
com.apssouza.clients,1.0,100.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.5,0.5
com.apssouza.configuration,0.0,0.0,0.0,1.0,4.0,0.0,1.071428571,7.5,45.0,0.0,1.0
com.apssouza.pojos,0.0,0.0,3.0,0.0,1.0,0.0,1.375,11.0,30.0,1.0,0.0
com.apssouza.services,0.5,200.0,0.0,2.0,2.0,1.0,2.0,6.0,12.0,0.5,1.0
com.apssouza.infra,0.666666667,66.666666667,0.0,0.0,3.0,2.0,1.285714286,9.0,30.0,,
de.codecentric.boot.admin,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.apssouza,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.apssouza.clients,1.0,200.0,2.0,2.0,2.0,2.0,1.666666667,10.0,10.0,0.5,0.5
com.apssouza.configuration,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,30.0,,
com.apssouza.controllers,0.0,300.0,0.0,2.0,2.0,0.0,1.8,9.0,22.0,0.0,1.0
com.apssouza.exceptions,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,,
com.apssouza.pojos,0.0,0.0,8.0,0.0,2.0,0.0,1.15,23.0,74.0,1.0,0.0
com.apssouza.services,0.5,300.0,2.0,4.0,4.0,2.0,1.769230769,23.0,37.0,0.166666667,0.666666667
com.apssouza.discovery,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.apssouza.config,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0
demo,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0
com.ewolff.microservice.customer,0.166666667,83.333333333,2.0,0.0,6.0,1.0,1.741935484,54.0,150.0,0.833333333,0.0
com.ewolff.microservice.customer.cdc,0.0,100.0,0.0,1.0,4.0,0.0,1.975308642,53.333333333,141.0,0.0,1.0
com.ewolff.microservice.customer.web,0.0,200.0,0.0,1.0,1.0,0.0,2.142857143,15.0,28.0,0.0,1.0
com.ewolff.microservice.catalog,0.142857143,100.0,2.0,0.0,7.0,1.0,1.461538462,38.0,122.0,0.857142857,0.0
com.ewolff.microservice.catalog.cdc,0.0,100.0,0.0,1.0,4.0,0.0,1.766666667,35.333333333,102.0,0.0,1.0
com.ewolff.microservice.catalog.web,0.0,200.0,0.0,1.0,1.0,0.0,1.777777778,16.0,34.0,0.0,1.0
com.ewolff.microservice.order,0.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0,15.0,1.0,0.0
com.ewolff.microservice.order.catalogstub,0.0,100.0,0.0,1.0,1.0,0.0,1.5,3.0,11.0,0.0,1.0
com.ewolff.microservice.order.clients,0.0,33.333333333,5.0,0.0,6.0,0.0,1.706349206,71.666666667,219.0,1.0,0.0
com.ewolff.microservice.order.customerstub,0.0,100.0,0.0,1.0,1.0,0.0,1.5,3.0,11.0,0.0,1.0
com.ewolff.microservice.order.logic,0.111111111,288.888888889,0.0,7.0,9.0,1.0,2.29787234,108.0,236.0,0.111111111,1.0
pl.piomin.services.account,0.0,50.0,0.0,1.0,2.0,0.0,2.0,10.0,31.0,0.0,1.0
pl.piomin.services.account.controller,0.0,200.0,0.0,1.0,1.0,0.0,1.75,7.0,20.0,0.0,1.0
pl.piomin.services.account.model,0.0,0.0,3.0,0.0,1.0,0.0,1.272727273,14.0,40.0,1.0,0.0
pl.piomin.services.account.repository,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.5,0.5
pl.piomin.services.discovery,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,12.0,,
pl.piomin.services.gateway,0.0,50.0,0.0,0.0,4.0,0.0,1.166666667,7.0,31.0,,
com.example,0.2,40.0,0.0,0.0,5.0,1.0,1.0,8.0,37.0,,
com.example,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.example,0.0,125.0,0.0,1.0,4.0,0.0,1.333333333,8.0,39.0,0.0,1.0
com.example.dto,0.0,50.0,3.0,0.0,4.0,0.0,1.407407407,38.0,101.0,1.0,0.0
com.example.service,0.75,125.0,1.0,2.0,4.0,3.0,1.111111111,10.0,38.0,0.416666667,0.666666667
com.example,0.142857143,57.142857143,0.0,0.0,7.0,1.0,1.16,29.0,119.0,,
com.example,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.example,0.222222222,77.777777778,0.0,0.0,9.0,2.0,2.441860465,105.0,188.0,,
org.flowant.website.registry,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,10.0,,
org.flowant.authserver,0.0,200.0,0.0,5.0,5.0,0.0,0.166666667,4.0,148.0,0.0,1.0
org.flowant.website,0.0,0.0,5.0,2.0,8.0,0.0,1.349206349,28.333333333,148.0,0.714285714,0.285714286
org.flowant.website.controller,0.0,0.0,1.0,0.0,3.0,0.0,1.4,7.0,27.0,1.0,0.0
org.flowant.website.repository,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,12.0,1.0,0.0
org.flowant.website.repository.devutil,0.0,0.0,4.0,0.0,1.0,0.0,1.1,5.5,37.0,1.0,0.0
org.flowant.gateway,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,,
org.flowant.website.gateway,0.0,0.0,0.0,0.0,2.0,0.0,1.333333333,4.0,21.0,,
org.flowant.website,0.0,200.0,3.0,1.0,3.0,0.0,0.75,3.0,32.0,0.75,0.25
org.flowant.website.event,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,,
org.flowant.website.integration,0.0,3400.0,0.0,1.0,1.0,0.0,137.857142857,965.0,135.0,0.0,1.0
org.flowant.website.model,0.175,237.5,53.0,10.0,40.0,7.0,4.419517103,313.785714286,449.0,0.666269841,0.158730159
org.flowant.website.repository,0.52173913,460.869565217,1.0,42.0,46.0,24.0,3.729567487,555.705555556,772.0,0.498483316,0.976744186
org.flowant.website.util,0.0,25.0,23.0,0.0,4.0,0.0,8.2,41.0,29.0,1.0,0.0
org.flowant.website.util.test,0.0,445.454545455,19.0,9.0,11.0,0.0,2.738709677,169.8,316.0,0.678571429,0.321428571
io.javabrains.moviecatalogservice,0.0,0.0,0.0,0.0,2.0,0.0,0.666666667,2.0,12.0,,
io.javabrains.moviecatalogservice.models,0.0,25.0,1.0,0.0,4.0,0.0,1.32,33.0,96.0,1.0,0.0
io.javabrains.moviecatalogservice.resources,0.0,400.0,0.0,1.0,1.0,0.0,25.333333333,25.333333333,8.0,0.0,1.0
io.javabrains.movieinfoservice,0.0,0.0,0.0,0.0,2.0,0.0,0.666666667,2.0,12.0,,
io.javabrains.movieinfoservice.models,0.0,0.0,1.0,0.0,2.0,0.0,1.230769231,16.0,51.0,1.0,0.0
io.javabrains.movieinfoservice.resources,0.0,200.0,0.0,1.0,1.0,0.0,4.666666667,4.666666667,8.0,0.0,1.0
io.javabrains.ratingsdataservice,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
io.javabrains.ratingsdataservice.model,0.0,50.0,1.0,0.0,2.0,0.0,1.2,12.0,40.0,1.0,0.0
io.javabrains.ratingsdataservice.resources,0.0,200.0,0.0,1.0,1.0,0.0,2.0,4.0,10.0,0.0,1.0
io.javabrains.discoveryserver,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.piggymetrics.account,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.piggymetrics.account.client,0.5,175.0,2.0,4.0,4.0,2.0,1.0,5.0,23.0,0.166666667,0.666666667
com.piggymetrics.account.config,0.0,0.0,0.0,1.0,1.0,0.0,1.166666667,7.0,21.0,0.0,1.0
com.piggymetrics.account.controller,0.0,300.0,0.0,2.0,3.0,0.0,2.416666667,29.0,92.0,0.0,1.0
com.piggymetrics.account.domain,0.0,50.0,11.0,0.0,4.0,0.0,1.0,36.0,134.0,1.0,0.0
com.piggymetrics.account.repository,0.5,200.0,2.0,2.0,2.0,1.0,34.333333333,103.0,49.0,0.0,0.5
com.piggymetrics.account.service,0.333333333,566.666666667,2.0,3.0,3.0,1.0,391.9,4702.8,135.0,0.066666667,0.6
com.piggymetrics.account.service.security,0.0,0.0,1.0,0.0,1.0,0.0,1.9,19.0,76.0,1.0,0.0
com.piggymetrics.turbine,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.piggymetrics.registry,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.piggymetrics.statistics,0.0,133.333333333,0.0,2.0,3.0,0.0,0.666666667,2.0,19.0,0.0,1.0
com.piggymetrics.statistics.client,0.333333333,200.0,2.0,3.0,3.0,1.0,14.0,56.0,31.0,0.066666667,0.6
com.piggymetrics.statistics.config,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0
com.piggymetrics.statistics.controller,0.0,500.0,0.0,2.0,2.0,0.0,11.142857143,78.0,59.0,0.0,1.0
com.piggymetrics.statistics.domain,0.0,50.0,10.0,0.0,4.0,0.0,1.0,31.0,116.0,1.0,0.0
com.piggymetrics.statistics.domain.timeseries,0.0,66.666666667,9.0,0.0,3.0,0.0,1.263157895,24.0,82.0,1.0,0.0
com.piggymetrics.statistics.repository,0.5,200.0,2.0,2.0,2.0,1.0,35.333333333,106.0,40.0,0.0,0.5
com.piggymetrics.statistics.repository.converter,0.0,0.0,1.0,2.0,2.0,0.0,2.0,4.0,16.0,0.333333333,0.666666667
com.piggymetrics.statistics.service,0.333333333,433.333333333,2.0,5.0,6.0,2.0,25.829166667,516.583333333,168.0,0.047619048,0.714285714
com.piggymetrics.statistics.service.security,0.0,0.0,1.0,0.0,1.0,0.0,1.9,19.0,76.0,1.0,0.0
com.piggymetrics.monitoring,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.piggymetrics.config,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,11.0,,
com.piggymetrics.notification,0.0,133.333333333,0.0,2.0,3.0,0.0,0.666666667,2.0,19.0,0.0,1.0
com.piggymetrics.notification.client,1.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0
com.piggymetrics.notification.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,11.0,,
com.piggymetrics.notification.controller,0.0,300.0,0.0,2.0,2.0,0.0,4.333333333,26.0,44.0,0.0,1.0
com.piggymetrics.notification.domain,0.0,50.0,12.0,0.0,2.0,0.0,1.0,13.0,49.0,1.0,0.0
com.piggymetrics.notification.repository,0.5,150.0,2.0,2.0,2.0,1.0,105.625,845.0,84.0,0.0,0.5
com.piggymetrics.notification.repository.converter,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,10.0,1.0,0.0
com.piggymetrics.notification.service,0.333333333,266.666666667,2.0,8.0,9.0,3.0,2.25,60.75,212.0,0.133333333,0.8
com.piggymetrics.auth,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.piggymetrics.auth.config,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,28.0,0.0,1.0
com.piggymetrics.auth.controller,0.0,250.0,0.0,2.0,2.0,0.0,0.5,3.0,35.0,0.0,1.0
com.piggymetrics.auth.domain,0.0,0.0,8.0,0.0,1.0,0.0,1.0,9.0,31.0,1.0,0.0
com.piggymetrics.auth.repository,0.5,100.0,4.0,2.0,2.0,1.0,0.0,0.0,15.0,0.166666667,0.333333333
com.piggymetrics.auth.service,0.333333333,233.333333333,2.0,3.0,3.0,1.0,0.4,2.0,37.0,0.066666667,0.6
com.piggymetrics.auth.service.security,0.0,150.0,2.0,2.0,2.0,0.0,0.5,2.0,22.0,0.5,0.5
com.piggymetrics.gateway,0.0,0.0,0.0,0.0,2.0,0.0,0.333333333,1.0,11.0,,
com.ewolff.microservice.invoicing,0.076923077,130.769230769,3.0,0.0,13.0,1.0,1.578828829,116.833333333,323.0,0.923076923,0.0
com.ewolff.microservice.invoicing.events,0.0,100.0,0.0,2.0,2.0,0.0,1.666666667,5.0,18.0,0.0,1.0
com.ewolff.microservice.invoicing.web,0.0,100.0,0.0,1.0,1.0,0.0,1.666666667,5.0,12.0,0.0,1.0
com.ewolff.microservice.shipping,0.076923077,123.076923077,3.0,0.0,13.0,1.0,1.348258706,90.333333333,299.0,0.923076923,0.0
com.ewolff.microservice.shipping.events,0.0,100.0,0.0,2.0,2.0,0.0,1.666666667,5.0,18.0,0.0,1.0
com.ewolff.microservice.shipping.web,0.0,100.0,0.0,1.0,1.0,0.0,1.666666667,5.0,12.0,0.0,1.0
com.ewolff.microservice.order,0.0,166.666666667,3.0,1.0,3.0,0.0,1.6,8.0,33.0,0.75,0.25
com.ewolff.microservice.order.customer,0.25,50.0,3.0,0.0,4.0,1.0,1.631578947,31.0,74.0,0.75,0.0
com.ewolff.microservice.order.item,0.25,50.0,4.0,0.0,4.0,1.0,1.578947368,30.0,70.0,0.75,0.0
com.ewolff.microservice.order.kafka,0.0,133.333333333,0.0,1.0,3.0,0.0,4.75,19.0,50.0,0.0,1.0
com.ewolff.microservice.order.logic,0.125,300.0,2.0,5.0,8.0,1.0,1.927966102,113.75,275.0,0.160714286,0.714285714
io.github.jhipster.registry,0.0,50.0,0.0,2.0,2.0,0.0,1.25,5.0,40.0,0.0,1.0
io.github.jhipster.registry.aop.logging,0.0,0.0,1.0,0.0,1.0,0.0,1.5,6.0,31.0,1.0,0.0
io.github.jhipster.registry.config,0.0,9.090909091,3.0,2.0,11.0,0.0,1.405405405,52.0,282.0,0.6,0.4
io.github.jhipster.registry.filters,0.0,66.666666667,0.0,2.0,3.0,0.0,1.4,7.0,30.0,0.0,1.0
io.github.jhipster.registry.filters.accesscontrol,0.0,0.0,2.0,0.0,1.0,0.0,1.833333333,11.0,53.0,1.0,0.0
io.github.jhipster.registry.security,0.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,14.0,1.0,0.0
io.github.jhipster.registry.security.jwt,0.0,0.0,3.0,0.0,3.0,0.0,1.9,19.0,95.0,1.0,0.0
io.github.jhipster.registry.service,0.0,100.0,0.0,1.0,1.0,0.0,2.0,4.0,53.0,0.0,1.0
io.github.jhipster.registry.service.dto,0.0,0.0,2.0,0.0,1.0,0.0,3.4,17.0,21.0,1.0,0.0
io.github.jhipster.registry.utils,1.0,0.0,4.0,0.0,1.0,1.0,2.0,6.0,16.0,0.0,0.0
io.github.jhipster.registry.web.rest,0.0,93.75,1.0,9.0,16.0,0.0,1.691812865,96.433333333,453.0,0.1,0.9
io.github.jhipster.registry.web.rest.errors,0.0,145.454545455,0.0,2.0,11.0,0.0,34.756097561,1425.0,325.0,0.0,1.0
io.github.jhipster.registry.web.rest.vm,0.0,77.777777778,7.0,3.0,9.0,0.0,3.079365079,194.0,363.0,0.7,0.3
pl.piomin.services.discovery,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
pl.piomin.services.gateway,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,13.0,,
pl.piomin.services.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
pl.piomin.services.organization,0.0,166.666666667,0.0,3.0,3.0,0.0,2.0,16.0,50.0,0.0,1.0
pl.piomin.services.organization.client,1.0,100.0,1.0,2.0,2.0,2.0,2.0,6.0,7.0,0.666666667,0.666666667
pl.piomin.services.organization.controller,0.0,400.0,0.0,1.0,1.0,0.0,1.916666667,11.5,36.0,0.0,1.0
pl.piomin.services.organization.model,0.0,100.0,7.0,0.0,3.0,0.0,1.181818182,39.0,118.0,1.0,0.0
pl.piomin.services.organization.repository,0.0,100.0,3.0,1.0,1.0,0.0,1.666666667,5.0,14.0,0.75,0.25
pl.piomin.services.employee,0.0,166.666666667,0.0,3.0,3.0,0.0,1.916666667,23.0,77.0,0.0,1.0
pl.piomin.services.employee.controller,0.0,200.0,0.0,1.0,1.0,0.0,1.9,9.5,24.0,0.0,1.0
pl.piomin.services.employee.model,0.0,0.0,5.0,0.0,1.0,0.0,1.333333333,20.0,56.0,1.0,0.0
pl.piomin.services.employee.repository,0.0,100.0,3.0,1.0,1.0,0.0,1.8,9.0,20.0,0.75,0.25
pl.piomin.services.department,0.0,233.333333333,0.0,3.0,3.0,0.0,2.0,22.0,68.0,0.0,1.0
pl.piomin.services.department.client,1.0,100.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.333333333,0.333333333
pl.piomin.services.department.controller,0.0,300.0,0.0,1.0,1.0,0.0,2.083333333,12.5,31.0,0.0,1.0
pl.piomin.services.department.model,0.0,50.0,6.0,0.0,2.0,0.0,1.227272727,27.0,80.0,1.0,0.0
pl.piomin.services.department.repository,0.0,100.0,3.0,1.0,1.0,0.0,1.75,7.0,17.0,0.75,0.25
plan,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
plan.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
plan.controller,0.0,150.0,0.0,2.0,2.0,0.0,1.111111111,10.0,53.0,0.0,1.0
plan.service,0.333333333,66.666666667,2.0,0.0,3.0,1.0,2.133333333,32.0,275.0,0.666666667,0.0
travel2,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
travel2.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,14.0,,
travel2.controller,0.0,150.0,0.0,2.0,2.0,0.0,1.269230769,33.0,141.0,0.0,1.0
